soil_type,soil_pH,temperature,humidity,organic_carbon,sodium,potassium,nitrogen,phosphorus,Soil_Quality,disease_encoded
5,5.75,39.5,24.6,1.1,16.2,55.8,66.01103504928807,53.01400602409639,37.51663243884629,0
5,6.92,28.2,34.4,2.66,29.1,78.3,66.01103504928807,53.01400602409639,37.51663243884629,0
5,7.93,32.9,22.2,1.21,48.3,120.2,66.01103504928807,53.01400602409639,37.51663243884629,0
5,6.03,35.9,10.9,1.11,12.6,144.9,66.01103504928807,53.01400602409639,37.51663243884629,0
5,5.61,31.0,23.7,0.94,29.8,53.4,66.01103504928807,53.01400602409639,37.51663243884629,0
5,8.16,33.1,20.4,1.82,78.5,155.3,66.01103504928807,53.01400602409639,37.51663243884629,0
5,6.2,39.2,11.8,0.7,23.0,88.9,66.01103504928807,53.01400602409639,37.51663243884629,3
5,6.54,27.8,40.9,2.42,23.7,248.0,66.01103504928807,53.01400602409639,37.51663243884629,0
5,5.51,36.2,29.1,2.46,23.7,95.8,66.01103504928807,53.01400602409639,37.51663243884629,2
5,6.25,33.3,11.3,0.81,39.2,113.8,66.01103504928807,53.01400602409639,37.51663243884629,0
5,7.62,37.1,25.2,1.84,54.7,127.5,66.01103504928807,53.01400602409639,37.51663243884629,0
5,5.72,28.3,27.7,1.63,65.4,84.9,66.01103504928807,53.01400602409639,37.51663243884629,0
5,7.73,30.8,15.8,1.24,70.4,139.7,66.01103504928807,53.01400602409639,37.51663243884629,0
5,5.87,36.9,25.8,2.61,35.9,71.0,66.01103504928807,53.01400602409639,37.51663243884629,2
5,7.23,33.6,30.1,3.53,31.1,118.0,66.01103504928807,53.01400602409639,37.51663243884629,0
5,6.15,33.2,29.1,1.73,68.1,85.2,66.01103504928807,53.01400602409639,37.51663243884629,2
5,5.57,30.4,22.2,1.0,21.1,140.8,66.01103504928807,53.01400602409639,37.51663243884629,0
5,5.98,39.9,14.8,1.17,19.5,122.8,66.01103504928807,53.01400602409639,37.51663243884629,0
5,6.95,30.4,31.8,4.51,29.3,106.1,66.01103504928807,53.01400602409639,37.51663243884629,0
5,5.53,33.1,19.5,2.29,54.5,98.7,66.01103504928807,53.01400602409639,37.51663243884629,2
5,6.18,29.1,33.5,2.75,53.0,141.7,66.01103504928807,53.01400602409639,37.51663243884629,0
5,5.48,30.9,27.9,1.4,23.6,84.9,66.01103504928807,53.01400602409639,37.51663243884629,0
5,8.39,37.8,22.8,1.13,74.9,136.7,66.01103504928807,53.01400602409639,37.51663243884629,1
5,6.33,30.1,13.2,1.05,36.1,72.4,66.01103504928807,53.01400602409639,37.51663243884629,0
5,5.65,37.5,23.0,1.35,32.7,59.4,66.01103504928807,53.01400602409639,37.51663243884629,0
