pH_sol,humidite_sol,matiere_organique,temperature_sol,conductivite_electrique,azote,phosphore,potassium,culture_precedente,pratique_agricole,pluviometrie,ensoleillement,maladie_probable
6.748357076505616,25.250536886589448,3.8482862476668185,16.05828409731878,1.0112569806794394,35.98206145679057,15.39418879834068,119.60457223518394,5,0,183.20005385769048,9.921789130995224,1
6.430867849414407,27.86150375862443,3.7833235925356665,18.835043059189385,1.60508098840624,34.358917711233964,17.814487415925292,143.4638480188467,3,2,135.19419756589537,7.260070526499077,4
6.823844269050346,25.818332572684,2.563480154194509,20.23891478112224,1.1207252610790728,44.51790756019536,16.705509766416863,64.84285430973114,2,2,146.67067954484892,6.840838217093886,3
7.261514928204012,30.77292632862284,4.079584221763739,22.449006732774077,1.2362277058870557,50.32831141426221,8.610429009035414,162.18816997455,0,0,141.23088144322168,9.8666243162299,2
6.382923312638332,38.380249720233394,2.009917324423382,25.072486979820635,1.4869562426550869,41.86846944134616,14.068898489860365,119.90260352828798,2,0,175.70268402981677,4.0,5
6.38293152152541,24.602704900011567,2.845815674239671,24.082407830115294,1.1764146372604236,45.11543751170463,18.26389774542122,113.29179226698754,0,1,164.3065233060133,5.449175350795095,0
7.289606407753696,37.0057434843789,1.5009121871021922,18.462025604657544,0.5,32.82595767693586,17.09020161218965,81.45245602733422,1,1,245.31599686266247,8.485305810530939,1
6.883717364576454,24.528295493571783,5.058626516962814,20.88486321350304,1.616235001821419,36.25404806139135,11.090647897263876,90.89480652854051,2,1,130.79282508340674,9.676063936071056,4
6.265262807032524,24.06660951252181,3.2684505060547044,22.2291267661077,1.7019715319660205,49.8573207359964,17.079517371322204,98.6737050602401,5,0,239.64261387826292,9.693551972059677,3
6.771280021792983,35.73016232840249,5.666884034816311,21.2133786266605,0.5,40.26711460258228,19.5744462590222,67.22438302806938,1,2,59.41280870508072,4.0,2
6.268291153593768,36.45355464605332,4.302949926519495,21.19211432239512,0.7826835177353848,32.57970124237185,10.11850481894775,100.55506453438063,3,2,174.47615176247737,7.031791369961487,5
6.267135123214872,35.95986955733858,3.948098213351024,16.831770026037184,2.009551846994204,35.32550554787375,5.198831306937157,83.23619483914092,3,0,70.71971391388539,9.720798160601406,0
6.620981135783017,20.78941814247301,2.9137723057190006,18.54179754658108,1.292813871401565,45.3715129030455,23.870316932035927,130.4887267064399,0,1,98.80547239737923,5.946038656523376,1
5.543359877671101,26.738343153495645,2.45364996431258,20.791180452582186,1.201420509308146,46.26227010324149,16.576674570388718,50.0,1,1,101.26702218676972,7.53329482794433,4
5.637541083743484,35.76092014402325,4.022971573896945,15.0,1.0294466371801718,26.57868858380226,12.713540855544029,102.58889766598443,2,1,97.3763892520449,8.902007231861823,3
6.218856235379514,30.29079288394726,3.428485990727018,23.921932960029565,0.7877189396573462,38.62591275046871,12.542223525196889,80.96930646578676,5,2,119.59626134537126,8.130572466574757,2
5.993584439832788,22.484150076617752,2.160729684514699,17.88196270086679,1.1222329430774465,34.92157157446689,15.733952687618862,110.08051011619229,2,0,260.02503155889826,8.978178992733238,5
6.657123666297637,33.208225573878096,1.9831415834916812,24.06051439979541,1.5897690956662844,34.34464151896292,20.2050920526078,180.6150495494701,0,2,106.09724462513262,7.654314684063891,0
6.045987962239394,24.996349187059707,2.5412962708564164,23.79674801341273,1.1937288162476003,48.30307950430716,7.45105931564257,160.22481072004297,2,0,69.3102465163377,9.139170769722847,1
